Date	Price	Open	High	Low
"Jun 05, 2015"	"1,172.00"	"1,176.49"	"1,179.35"	"1,162.35"
"Jun 04, 2015"	"1,176.26"	"1,185.30"	"1,186.41"	"1,172.55"
"Jun 03, 2015"	"1,185.50"	"1,193.11"	"1,195.81"	"1,179.43"
"Jun 02, 2015"	"1,193.38"	"1,188.91"	"1,196.12"	"1,185.44"
"Jun 01, 2015"	"1,189.15"	"1,190.50"	"1,204.81"	"1,184.10"
"May 29, 2015"	"1,190.50"	"1,187.90"	"1,193.81"	"1,186.33"
"May 28, 2015"	"1,188.45"	"1,187.46"	"1,192.75"	"1,180.55"
"May 27, 2015"	"1,188.15"	"1,186.69"	"1,191.55"	"1,183.76"
"May 26, 2015"	"1,187.30"	"1,206.55"	"1,208.00"	"1,185.35"
"May 25, 2015"	"1,207.17"	"1,204.75"	"1,208.97"	"1,202.55"
"May 22, 2015"	"1,206.38"	"1,206.25"	"1,215.20"	"1,201.20"
"May 21, 2015"	"1,206.45"	"1,209.61"	"1,212.95"	"1,201.41"
"May 20, 2015"	"1,209.28"	"1,207.90"	"1,213.47"	"1,202.91"
"May 19, 2015"	"1,207.51"	"1,225.10"	"1,225.57"	"1,205.39"
"May 18, 2015"	"1,225.74"	"1,222.80"	"1,232.70"	"1,221.00"
"May 15, 2015"	"1,223.85"	"1,221.01"	"1,226.75"	"1,210.80"
"May 14, 2015"	"1,221.52"	"1,215.31"	"1,227.44"	"1,211.65"
"May 13, 2015"	"1,215.73"	"1,192.95"	"1,219.30"	"1,190.80"
"May 12, 2015"	"1,193.50"	"1,183.40"	"1,197.00"	"1,180.65"
"May 11, 2015"	"1,184.20"	"1,188.45"	"1,192.10"	"1,179.00"
"May 08, 2015"	"1,188.15"	"1,184.16"	"1,193.61"	"1,181.63"
"May 07, 2015"	"1,184.80"	"1,191.30"	"1,193.30"	"1,178.66"
"May 06, 2015"	"1,191.80"	"1,192.69"	"1,197.90"	"1,187.80"
"May 05, 2015"	"1,193.33"	"1,188.06"	"1,200.10"	"1,185.40"
"May 04, 2015"	"1,188.25"	"1,178.50"	"1,193.45"	"1,177.43"
"May 01, 2015"	"1,178.50"	"1,184.16"	"1,185.26"	"1,170.20"
"Apr 30, 2015"	"1,184.37"	"1,204.66"	"1,207.52"	"1,176.80"
"Apr 29, 2015"	"1,204.80"	"1,211.60"	"1,213.70"	"1,201.13"
"Apr 28, 2015"	"1,212.10"	"1,202.25"	"1,215.50"	"1,198.80"
"Apr 27, 2015"	"1,202.00"	"1,179.31"	"1,207.46"	"1,178.30"
"Apr 24, 2015"	"1,179.38"	"1,193.65"	"1,196.51"	"1,174.73"
